320,137,358,137,358,167,320,167
206,126,322,134,320,168,204,159
92,117,205,126,203,162,89,153
152,405,192,398,195,413,154,420
168,298,227,294,228,310,169,314
92,223,133,223,133,237,92,237
94,340,166,333,168,349,95,356
286,341,341,335,342,348,288,353
143,300,165,299,166,314,144,315
225,89,358,99,356,135,223,126
95,413,138,406,141,422,97,429
168,332,235,327,236,343,169,348
254,408,284,403,286,416,256,422
258,332,324,325,325,338,259,345
132,223,191,222,191,237,132,238
340,393,372,387,374,401,342,406
280,402,346,391,348,405,282,417
94,304,136,302,136,316,94,318
99,483,131,477,134,490,101,497
183,263,224,260,225,276,184,280
295,368,372,357,374,373,297,384
93,76,183,82,181,121,91,115
92,255,165,253,165,267,93,269
95,374,187,362,189,381,97,393
156,441,190,434,192,448,159,455
92,269,142,267,142,280,92,282
99,496,136,488,138,502,101,510
99,450,154,440,157,455,101,465
129,475,215,457,218,475,133,492
91,187,180,186,180,203,91,204
133,266,183,265,183,279,133,280
100,529,149,519,152,536,103,546
